абажур|колпак для лампы, светильника
гол|  В футболе и сходных командных играх:очко, выигрываемое после попадания мяча (шайбы) в ворота соперника
голгофа|место мучений, страданий [по названию холма близ Иерусалима, где по христианскому вероучению, был распят  Иисус Христос]
голенище|часть сапога, охватывающая голень
голень|часть ноги (у животных - задней конечности) от колена до стопы
голец|морская рыба семейства лососевых
голландка|животное (самка) голландской породы (корова, курица)
голова|черепная коробка
головня|тлеющее или обгорелое полено, кусок обуглившегося дерева, бревна
головорез|отчаянный озорник
голод|ощущение потребности в еде
голодный|недающий насыщения, сытости
голодовка|отказ от пищи в знак протеста
гололед|слой льда на поверхности земли или на предметах, образовавшийся после замерзания капель дождя, мороси; время, когда образуется такой слой льда
голос|мнение, высказывание
голуба|Ласково-фамильярное    к кому-н.+
голубизна|голубой цвет, оттенок чего-нибудь
голубчик|Ласковоо человеке
голубятня|помещение для домашних голубей(обычно на крыше, на чердаке)
голыш|(обычно о ребенке)голый человек
гольф|игра в мяч, который по дорожкам загоняют в лунки клюшками
гомеопат|врач, лечащий методами гомеопатии
гомон|громкий шум от множества голосов, звуков
гонг|ударный музыкальный инструмент в виде металлического диска, употребляемый также для подачи сигналов
гондола|венецианская длинная лодка с каютой или тентом
гонение|преследование с целью притеснения, угнетения, запрещения чего-нибудь
гонец|В старину:человек, посылаемый куда-нибудь со срочным известием
гонка|состязание в скорости передвижения (в езде, гребле, беге на лыжах и др.)
гонор|самомнение, заносчивость
гонорар|вознаграждение за труд в области науки, литературы или искусства
гонорея|венерическая болезнь - гнойное воспаление мочеполовых органов
гора|гористая местность
горб|У верблюдов и некоторых других животных:жировое образование, выпуклость на спине
горбатый|имеющий горб или очень сильно сгорбленный
горбинка|небольшая выпуклость
горбун|горбатый человек
горбуша|промысловая дальневосточная рыба семейства лососевых
горбушка|кусок хлеба, отрезанный от непочатого края
гордец|заносчивый, чрезмерно гордый человек
гордость|чувство собственного достоинства, самоуважения
горелка|В осветительных и нагревательных приборах:приспособление, в котором происходит горение жидкости, газа или пылевидного топлива
горемыка|горемычный человек
горесть|тяжелое переживание
горец|житель гор
горечь|горький вкус
горизонт|круг знаний, идей
горилла|крупная человекообразная обезьяна, живущая в Центральной Африке
горком|Сокращение:городской комитет
горло|верхняя суженная часть сосуда
горловина|глубокое и суживающееся отверстие в чем-нибудь; глубокий и узкий проход
гормон|биологически активное вещество, вырабатываемое специальными органами или клетками в одной части организма и регулирующее деятельность органов и тканей в других частях организма
горн|нижняя часть доменной печи, вагранки
горнист|музыкант, играющий на горне 2
горностай|небольшой хищный зверек семейства куньих с белым (в зимнее время) ценным мехом и черным кончиком хвоста
горняк|работник горной промышленности, горнорабочий или горный инженер
город|крупный населенный пункт, административный, торговый, промышленный и культурный центр
городище|место, где в древности был город или укрепленное поселение
городок|небольшой деревянный столбик для игры в городки, рюха
городьба|деревянная изгородь, плетень
горожанин|городской житель
гороскоп|В астрологии:таблица взаимного расположения планет и звезд, служащая для предсказаний о чьей-нибудь судьбе, об исходе какого-нибудь события
горох|растение семейства бобовых
горошек|круглые крапины на материи
горошина|зерно гороха
горсовет|Сокращение:городской Совет народных депутатов - представительный орган государственной власти в городе
горсть|количество чего-нибудь, помещающееся в руке, сложенной таким образом
гортань|верхняя часть горла между глоткой и трахеей, орган дыхания и образования голоса
горчица|травянистое растение семейства крестоцветных с желтыми цветками, семена которого используются в пищевой промышленности, в медицине и технике
горчичник|пластырь, лист плотной бумаги, покрытый слоем горчичного порошка, вызывающий прилив крови и оказывающий противовоспалительное и обезболивающее действие
горшок|округлый глиняный сосуд для приготовления и хранения пищи
господин|В буржуазно-дворянском обществе:человек привилегированного класса
господь|У христиан:бог
гост|Сокращение:государственный общесоюзный стандарт - устанавливаемый государством комплекс норм и правил применительно к объектам стандартизации
гостиница|дом для временного проживания приезжающих с одноместными или неодноместными номерами, с обслуживанием
гость|стар.купец, ведущий заморскую торговлю
государь|В древней Руси:князь-правитель; в царской России: царь
грабеж|разг. неодобр.о взимании непомерно высокой цены, цен
грабитель|человек, который занимается грабежом, грабит
грабли|устройство или сельскохозяйственная машина для сгребания травы, сена в валки, ворошения валков
гравий|обломочная горная порода в виде мелких камешков, употребляемая в строительных, дорожных работах
гравюра|выгравированный рисунок
град|атмосферные осадки в виде округлых частичек льда
градус|единица измерения дуг и углов, равная 1-360 окружности
гражданин|лицо, принадлежащее к постоянному населению данного государства, пользующееся его защитой и наделенное совокупность прав и обязанностей
грамм|единица массы в десятичной системе мер, одна тысячная доля килограмма
грамота|В старину:письмо, записка
грамотей|грамотный человек
гран|единица массы, равная 0 062 г (в старой русской аптекарской практике) или 0 064г (в некоторых странах)
гранат|южное дерево
граната|разрывной снаряд
гранд|  В Испании до 1931 г.:высший дворянский наследственный титул
гранит|твердая горная зернистая порода, состоящая в основном из кварца, полевого шпата и слюды
граница|предел, допустимая норма
грань|плоская часть поверхности геометрического тела
граф|дворянский титул выше баронского
графа|раздел текста, рубрика
график|план работ с точными показателями норм и времени выполнения
графика|начертания письменных или печатных знаков, букв
графин|широкий книзу сосуд с узким длинным горлом (для воды, напитков)
графит|минерал темно-серого или черного цвета, употребляемый для изготовления карандашных стержней, огнеупорных тиглей, смазочных материалов и в других технических целях
графоман|человек, страдающий графоманией
графство|при феодализме: земля, находящаясь во владении графа
грация|изящество, красота в движениях
грач|птица семейства вороновых с черным, отливающим в блеск оперением
гребенка|продолговатая пластинка с рядом зубцов для расчесывания волос, для скрепления прически
гребень|верхняя точка, верх
гребец|спортсмен, занимающийся гребным спортом
гребешок|небольшая расческа с частыми мелкими зубьями
греза|светлая мечта
грейдер|колесная землеройная машина, употребляемая в дорожном строительстве
грелка|прибор для согревания, обогревания
грех|предосудительный поступок
греча|гречневая крупа
грешник|грешный человек
гриб|особый организм, не образующий цветков и семян и размножающийся спорами
грибник|любитель собирать грибы
грибок|принадлежность для штопки чулок в форме деревянного гриба
грива|длинные волосы на шее некоторых животных
гривенник|монета или сумма в 10 копеек
гривна|денежная и весовая единица в Древней Руси - серебряный слиток весом около полуфунта
грим|карандаши и другие принадлежности, употребляемые при гримировке
гримаса|намеренное или невольное искажение лица (при выражении какого-нибудь чувства)
гример|специалист, занимающийся гримировкой артистов
грипп|острое вирусное заболевание, характеризующееся воспалением дыхательных путей и лихорадочным состоянием
гриф|В древней мифологии:крылатое чудовище с головой орла и туловищем льва
гроб|специальный длинный ящик с крышкой, в котором хоронят умершего
гробница|сооружение из камня, в котором хранится гроб с прахом умершего; усыпальница
гроза|бурное ненастье с дождем, громом и молниями
гроздь|кисть цветов, ягод или других мелких плодов
гром|сильный шум, звуки ударов
громада|огромный предмет, что-нибудь очень большое
громадина|огромный предмет, огромное существо
громила|участник погрома
грохот|сильный шум с раскатами
грош|старинная медная монета в две копейки, позднее полкопейки
грубиян|человек, который груб и дерзок в обращении
груда|большая куча чего-нибудь
грудина|кость в середине передней стенки грудной клетки
грудь|верхняя передняя часть рубашки, платья, верхней одежды
груз|тяжесть, тяжелый предмет
груздь|съедобный пластинчатый гриб с широкой белой мохнатой, немного слизистой шляпкой
грузовик|грузовой автомобиль
грузчик|рабочий, занимающийся погрузкой и выгрузкой
грунт|В живописи, малярных работах:промежуточный слой (краски, специального состава), которым покрывают поверхность перед нанесением краски
группа|несколько предметов или людей, животных, расположенных близко друг от друга соединенных вместе
грусть|чувство печали, уныния
груша|изделие, по форме напоминающее этот плод
грушовка|сорт сладких летних яблок
грыжа|выпяченный таким образом орган
грызня|взаимные укусы, драка между животными
грызун|млекопитающее с сильно  развитыми  передними  зубами, приспособленными для питания твердыми растительными кормами
гряда|полоса вскопанной земли в огороде, цветнике, на плантации
грязь|размякшая от воды почва
гуашь|непрозрачная краска, растертая на воде с клеем и примесью белил
губа|одна из двух подвижных кожно-мышечных складок, образующих края рта
губерния|В России с начала 18 в., в СССР до 1929 г., сейчас в Финляндии:основная административно-территориальная единица
губка|неподвижное многоклеточное низшее морское животное
губошлеп|недотепа и растяпа
гудок|механическое устройство для подачи гудящих сигналов
гул|не вполне ясный, сливающийся шум
гульба|гулянье, кутеж
гульден|денежная единица Нидерландов
гуляка|человек, который живет праздно и разгульно
гулянка|небольшая пирушка или веселое времяпрепровождение в компании
гулянье|массовое празднество под открытым небом
гуляш|кушанье из кусочков мяса в соусе
гуманизм|прогрессивное движение эпохи Возрождения, направленное к освобождению человеческой личности от идейного закрепощения времен феодализма и католицизма
гуманист|деятель или сторонник гуманизма; гуманный человек
гурман|любитель и ценитель изысканной пищи
гурт|большая группа домашних животных, перегоняемая с одного места на другое
гурьба|шумливая группа людей, ватага
гусеница|личинка бабочки, обычно червеобразная, с несколькими парами ног
гусь|родственная утке крупная дикая и домашняя водоплавающая птица с длинной шеей
гуталин|мазь для кожаной обуви
гуща|густая заросль самое густое место в чем-нибудь середина
давка|скопление теснящихся в беспорядке, давящих друг друга людей
давление|принуждение, насилие над чьей-нибудь волей, убеждениями
даль|далекое пространство, видимое глазом
дальтоник|человек, страдающий дальтонизмом
дама|по отношению к иностранкам:+
дамба|гидротехническое сооружение - вал для предохранения от затопления водой низких мест, для ограждения водохранилища
дамка|В шашках:шашка, доведенная до последнего ряда клеток соперника и получившая право передвигаться на любое число клеток
данность|то, что дано, что есть в наличии, объективная действительность
дантист|зубной врач
дань|В старину:подать с населения или налог, взимаемый победителем с побежденных
дар|способность талант
дармоед|тот, кто живет на чужой счет, бездельник
дата|календарное время какого-нибудь события
датчик|устройство непосредственно принимающее, преобразующее и передающее специальным приборам данные каких-нибудь измерений
дверца|небольшая дверь (обычно двустворчатая)
дверь|проем в стене для входа и выхода
двигатель|машина, преобразующая какой-нибудь вид энергии в механическую работу
движение|форма существования материи, непрерывный процесс развития материального мира
движок|В разных механизмах:небольшая движущаяся часть, скользящая вдоль оси
двоечник|неуспевающий ученик, постоянно получающий двойки
двойка|цифра 2
двойник|человек имеющий полное сходство с другим
двор|участок земли между домовыми постройками одного владения, одного городского участка
дворец|такое здание, как место пребывания монарха, его семьи
дворецкий|В помещичьем и буржуазном быту:старший слуга в доме, заведующий домашним хозяйством и прислугой
дворник|работник, поддерживающий чистоту и порядок на дворе и на улице около дома
дворняга|дВОРНЯ-ЖКА, Беспородная дворовая собака
дворянин|лицо, принадлежащее к дворянству
двуколка|двухколесная повозка
дебаты|прения, обсуждение вопроса
дебил|психически недоразвитый человек
дебри|место, заросшее непроходимым лесом
дебют|первое или пробное выступление на сцене, в спортивных состязаниях, на новом поприще
деверь|брат мужа
девиз|краткое изречение или слово, которое на конкурсах автор ставит на произведении вместо своего имени
девочка|ребенок женского пола
девушка|лицо женского пола в возрасте, переходном от отрочества к юности
девчата|девушки, девочки
девятка|Названиечего-нибудь, содержащего девять единиц (игральной карты в девять очков, группы из девяти человек, предметов и т.п.)
дегенерат|человек с признаками дегенерации
деготь|темный смолистый жидкий продукт с резким запахом, получаемый путем сухой перегонки, торфа или каменного угля
дед|отец отца или матери
дедовщина|В армии:неравноправное и оскорбительное поведение старослужащих по отношению к молодым солдатам, новобранцам
дезертир|тот, кто дезертировал
действие|результат проявления деятельности чего-нибудь, влияние, воздействие
действо|В старину:драматическое представление
декабрист|участник русского дворянского революционно-освободительного движения завершившегося восстания 14 декабря 1825 года
декабрь|двенадцатый месяц календарного года
декада|промежуток времени в десять дней, третья часть месяца
декан|руководитель факультета в высшем учебном заведении
деканат|управление факультета, возглавляемое деканом
декольте|О женском платье:с таким вырезом
декорация|устанавливаемое на сцене, съемочной площадке живописное, объемное архитектурное изображение места и обстановки сценического действия
декрет|постановление верховной власти
делегат|выборный или назначенный представитель, уполномоченный государством, коллективом
делегация|группа делегатов, представляющих какое-нибудь государство, коллектив
дележ|раздел, распределение по частям
деление|расстояние между двумя отметками на измерительной шкале
делец|человек, который ловко и не стесняясь в средствах ведет дела
деликатес|изысканное кушанье
дело|надобность, нужда
дельта|устье большой реки с его разветвлениями на отдельные рукава и прилегающая к нему часть суши
дельфин|морское млекопитающее подотряда зубатых китов
деляга|человек, озабоченный в делах только ближайшей выгодой
делянка|участок земли (поля, леса), выделенный для обработки, вырубки
демагог|человек, который применяет демагогические приемы
демагогия|основанное на намеренном извращении фактоввоздействие на чувства, инстинкты малосознательной части масс
демократ|сторонник демократии
демон|В религиозной мифологии:сатана, злой дух
денщик|до революции: солдат, состоящий при офицере для личных услуг
день|время, период
деньга|старая русская монета в полкопейки
деньги|капитал, средства
депо|предприятие, учреждение для стоянки и ремонта железнодородного подвижного состава
депрессия|В капиталистическом обществе:упадок, застой в экономике, сменяющий собой кризис перепроизводства
депутат|выборный представитель, член выборного государственного учреждения
деревня|крестьянское селение
дерево|многолетнее растение с твердым стволом и отходящими от него ветвями, образующими крону
деревяшка|кусочек дерева, деревянный брусок
держава|золотой шар с короной или крестом наверху - эмблема власти, одна из регалий монарха
держатель|лицо владеющее ценными бумагами
дерматин|ткань со специальным покрытием, выработанная под кожу
дерн|густо заросший травой, скрепленный корнями многолетних растений верхний слой почвы
дерьмо|бран.о ком-чем-нибудь негодном, гадком
десант|высадка войск на вражескую территорию
десантник|участник десанта
десна|слизистая оболочка, покрывающая края челюстей
десница|правая рука
деспот|самовластный человек, попирающий чужие желания, не считающийся ни с кем, самодур
деспотизм|самовластное правление
десятник|старший над группой рабочих
десяток|предпоследняя цифра многозначного числа
деталь|мелкая подробность, частность
детвора|маленькие дети
детдом|Сокращение:детский дом
детектив|В капиталистических странах:специалист по расследованию уголовных преступлений
детектор|В радиотехнике:устройство для преобразования электрических колебаний
детеныш|молодое животное, находящееся при матери
детина|рослый и сильный молодой мужчина
детка|ребенок, дитя
детонатор|особый капсюль, применяемый при взрывах
детство|ранний, до отрочества возраст; период жизни в таком возрасте
дефект|изъян, недостаток, недочет
дефицит|недостаток, нехватка чего-нибудь
дешевизна|положение, когда цены на товары очень низки
дешевка|пренебр.нечто безвкусное, лишенное ценности, содержательности
деяние|действие, поступок, свершение
деятель|человек который проявил себя в какой-нибудь общественной деятельности
джем|варенье из фруктов или ягод в виде густого желе
джемпер|вязаная фуфайка без воротника, надевающаяся через голову
джерси|Об одежде:из такого материала
джин|английская можжевеловая водка
джинсы|плотно облегающие брюки из жесткой (обычно синей) хлопчатобумажной ткани с цветной строчкой
джип|американский армейский автомобиль
джунгли|густые, труднопроходимые лесные заросли в болотистых местностях тропических стран
дзот|укрепленная оборонительная огневая точка [сокращение по начальным буквам: деревоземляная огневая точка]
дзюдо|спортивная борьба вольного стиля, основанная на бросках, подсечках, захватах
диабет|Названиеряда заболеваний, вызванных нарушением обмена веществ
диагноз|определение болезни, травмы на основании специального исследования
диагональ|ткань с косыми рубчиками
диаграмма|графическое изображение соотношения каких-нибудь величин
диалект|местная или социальная разновидность языка
диалог|разговор между двумя лицами, обмен репликами
диаметр|  В математике:отрезок прямой линии, соединяющий две точки окружности и проходящий через ее центр
диатез|состояние организма, предрасполагающее к определенным заболеваниям или к аллергии
диафрагма|сухожильно-мышечная перегородка, отделяющая грудную полость от брюшной, грудобрюшная преграда
диван|мягкая мебель для сидения и лежания, со спинкой и ручками или валиками
диверсия|разрушение, выведение из строя объектов военного, государственного, народнохозяйственного значения агентами иностранного государства, преступными элементами
дивиденд|прибыль, получаемая акционерами пропорционально вложенному капиталу
дивизион|подразделение военных кораблей одного класса
дивизия|соединение военных кораблей одного или нескольких классов
диво|то, что вызывает удивление, чудо
дивчина|девушка, девочка
диета|специально установленный режим питания
дизайн|конструирование вещей, машин, интерьеров, основанное на принципах сочетания удобства, экономичности и красоты
дизайнер|художник-конструктор, специалист по дизайну
дикарь|человек, находящийся на ступени первобытной культуры
дикобраз|млекопитающее отряда грызунов, спина и бока которого покрыты длинными иглами
диковина|странная, удивительная вещь, явление
диктант|письменная проверочная работа - записывание текста, диктуемого учителем
диктат|требование условие, предъявляемое сильной стороной и навязываемое слабой стороной для безусловного исполнения
диктатор|тот, кто ведет себя по отношению к другим властно и нетерпимо
диктатура|ничем не ограниченная власть, опирающаяся на прямое насилие
диктор|работник радио или телевидения, читающий текст перед микрофоном, телекамерой
диктофон|прибор для магнитной записи и последующего воспроизведения устной речи как диктуемой
дилетант|тот, кто занимается наукой или искусством без специальной профессиональной подготовки (обычно не обладая углубленными знаниями)
дилижанс|многоместная карета для перевозки пассажиров почты и багажа
дина|единица силы, равная силе, сообщающей массе в один грамм ускорение в один сантиметр в секунду
динамик|электродинамический громкоговоритель
динамика|движение, действие, развитие
динамит|сильное взрывчатое вещество
динамо|прежнее название генератора постоянного тока
династия|ряд последовательно правящих монархов из одного и того же рода
динго|дикая австралийская собака
динозавр|вымершее крупное пресмыкающееся
диплом|исследовательская работа, выполняемая выпускником высших и некоторых средних учебных заведений
дипломат|должностное лицо, специалист, занимающийся дипломатической деятельностью, работой в области внешних сношений
директива|руководящее указание; распоряжение, приказ
директор|руководитель предприятия, учреждения или учебного заведения
дирекция|руководящий орган какого-нибудь предприятия, учреждения, учебного заведения, вл главе к-того стоит директор или директорат
дирижабль|снабженный двигателями управляемый аэростат с сигарообразным корпусом
дирижер|музыкант, управляющий хором
диск|предмет в виде плоского круга
дискант|певец с таким голосом
дискета|гибкий магнитный диск, носитель информации для обработки на ЭВМ
дискуссия|спор, обсуждение какого-нибудь вопроса на собрании, в печати, в беседе
диспансер|медицинское учреждение, занимающееся лечением определенного контингента больных, систематически наблюдающее за их здоровьем
диспетчер|работник, координирующий и контролирующий из центрального пункта движение транс порта, ход работы, производственного процесса
дисплей|устройство, отображающее на экране (в виде текстов, чертежей, схем) информацию, полученную от ЭВМ, экранный пульт
диспут|публичный спор на научную или общественную важную тему
диссидент|человек, не согласный с господствующей идеологией, инакомыслящий
диссонанс|то, что вносит разлад, вступает в противоречие с чем-нибудь; несогласованность, несоответствие
дистанция|расстояние, промежуток между чем-нибудь
дистрофик|больной дистрофией
дистрофия|нарушение обмена, питания тканей, органов или организма в целом
дичь|мясо этих птиц и животных, употребляемое в пищу
длань|рука, ладонь
длина|величина, протяженность чего-нибудь в том направлении, в котором две крайние точки линии, плоскости, тела лежат, в отличие от ширины, на наибольшем расстоянии друг от друга
дневник|ученическая тетрадь для записи заданных уроков и для отметок об успеваемости и поведении
днище|дно (бочки, плоскодонного судна)
дно|верхняя часть твердого головного убора
доблесть|высокая самоотверженность в работе, в деятельности
добро|разг. пренебр.о ком-чем-нибудь плохом, негодном
добряк|добрый человек
добытчик|человек, который занят добычей, добывает что-нибудь промыслом
добыча|то, что добыто, приобретено
доверие|уверенность в чьей-нибудь добросовестности, искренности, в правильности чего-нибудь
довесок|кусок, дополняющий взвешиваемое до нужного веса
довод|мысль, суждение, приводимые в доказательство чего-нибудь, аргумент
дог|самая крупная короткошерстная служебная собака
догадка|предположение о вероятности, возможности чего-нибудь
догма|положение, принимаемое на веру за непреложную истину, неизменную при всех обстоятельствах
догмат|основное положение религиозном учении, принимаемое на веру и не подлежащее критике
договор|соглашение, обычно письменное, о взаимных обязательствах
дож|глава республики в средневековой Венеции и Генуе
дождевик|шарообразный гриб с мякотью внутри, превращающейся при высыхании в темную пыль
дождь|о чем-нибудь падающем во множестве
доза|точно отмеренное количество, мера чего-нибудь
дознание|предварительное административное расследование
дозор|обход для осмотра
док|сооружение для ремонта и постройки судов
дока|знаток, мастер своего дела; ловкач
докер|портовый рабочий
доклад|устное или письменное сообщение начальнику о служебном деле
доктрина|учение, научная концепция (обычно о философской, политической, идеологической теории
документ|письменное свидетельство о каких-нибудь исторических событиях, фактах
должник|тот, кто взял в долг у кого-нибудь, должен или обязан кому-нибудь чем-нибудь
должность|служебная обязанность, служебное место
долина|удлиненная впадина (вдоль речного русла, среди гор)
доллар|денежная единица в США, Канаде, Австралии и некоторых других странах
долото|инструмент для разрушения горной породы при бурении
долька|часть плода некоторых растений
доля|участь, судьба
дом|жилое (или для учреждения) здание
