brave|храбрый, смелый
objects|Объекты
hungry|голодный
these|эти, это
else|еще, кроме
billy|Билли
patted|Ласкал
conquer|завоевывать, завоевать
pencil|карандаш
project|проект
bit|кусочек, немного
aspect|взгляд, точка зрения
urge|понуждать
frames|оправы, рамки
nephew|племянник
discuss|обсуждать
opening|начало, открытие
smoker|курящий, вагон для курящих
bitter|горький, мучительный
sick|больной
pills|таблетки
each|каждый
bin|бункер
big|большой
shorter|короче
senses|Чувства
muzzle|морда, намордник, дуло
nail|ноготь, гвоздь
unique|Уникальный
drove|водил машину, ехал на машине
rival|соперник, соперничающий
refrain|удерживать, сдерживать, воздерживаться
grind|молоть, толочь, точить
bathing|купание, купальный
toilet|туалет
side|сторона, бок, край
ninety|девяносто
tell|говорить, рассказывать
crawled|Ползал
chamber|палата
define|определять, устанавливать
stir|суета, суматоха, мешать, помешивать, волновать
slaves|рабы
razor|бритва
ordinal|порядковый
digging|Рытье
morning|утро
upwards|вверх
manners|способы
drown|тонуть, топить, заглушать
invest|вкладывать, помещать
sneer|усмешка, насмешка; насмехаться, издеваться
unkind|недобрый
testing|испытание
precise|точный
ham|ветчина
visible|видимый, очевидный
postman|почтальон
rusty|заржавленный, порыжевший
lucius|Лусиус
bog|трясина
cruise|морское путешествие
has|имеет
backs|Задние части
hat|шляпа
maxim|принцип
planet|планета
aboard|на корабле, на борту, в вагоне
tally|бирка, этикетка, дубликат, копия
snuff|Нюхнуть
wanting|Желание
kerb|обочина
foliage|листва
friday|пятница
planes|самолеты
climate|климат
had|вспомогательный глагол, имел , не has
crack|попытка, проба, трещина
potions|Микстуры
scared|напуганный
seventh|седьмой
rivers|Реки
utter|издавать , произносить
sign|подписывать, знак, вывеска
refuse|отказывать
discern|различать, видеть
offend|обижать, обидеть
serving|порция s
hay|сено
crude|сырой, необработанный
sigh|вздыхать, вздох
seventy|семьдесят
measure|мера
lizzie|Автомобильчик
granted|дарованный
pulse|пульс, пульсировать
twins|близнецы
pat|хлопок
chapter|глава
invent|изобретать, изобрести
pilot|пилот
paw|лапа
name|имя, фамилия, называть
spoil|портить, баловать
pay|платить, зарплата
tonight|сегодня вечером
locate|определять местоположение
onion|лук
quarrel|ссора, ссориться
music|музыка
pad|мягкая прокладка, подушка; подбивать
depend|зависеть
viewed|Рассматриваемый
pal|приятель, товарищ, дружок
tracks|Следы
forge|выдумывать
mutiny|мятеж, поднять мятеж
scarce|редкий, едва
pan|сковорода
neither|также не
never|никогда
motives|Поводы
there|там, туда, вот
box|ящик, коробка, ложа
bow|кланяться, сгибаться
balmy|душистый, нежный, целебный
boy|мальчик, юноша
eternal|вечный
govern|управлять
knowing|знание, знающий
tomato|томат, помидор
lobby|вестибюль
louisa|Луиза
manure|удобрение
somehow|как-нибудь, так или иначе
verify|проверять, подтверждать
package|пакет
louise|Луиза
involve|втягивать, вовлекать
vigour|сила, энергия
shortly|вскоре
hey|эй
zoo|зоопарк
crumble|крошить
among|среди
blend|смешивать, смесь
assault|нападать, нападение
her|ее, ей
blown|Сдутый
smile|улыбаться, улыбка
hen|курица
itself|себя, себе
hem|рубец, кромка, кайма; подшивать, подрубать
spots|Пятна
ban|запрещать
final|окончательный
bag|сумка
mexican|Мексиканец
career|профессия, карьера
canyon|Каньон
hopes|Надежды
pointed|острый, многозначительный, совершенно очевидный
bad|плохой
bab|Бэб
prone|склонный
warrior|воин
bay|бухта, залив
colony|колония
hoped|надеялся
perfume|духи
bat|бить
bar|бар
foam|пена
foal|жеребенок
dalton|Далтон
spout|носик , желоб
proof|доказательство
kings|Короли
cruel|жестокий, беспощадный
gained|Полученный
gossip|сплетня
shindy|шум, скандал
unless|если не, пока не
listen|слушать
greatly|очень
kept|заставил
stay|оставаться, жить
pea|горох
gallery|галерея
star|звезда
exceed|превышать, превосходить
void|лишенный, недействительный
sedate|спокойный
denied|Отклоненный
brings|Приносит
exclude|исключать
tales|сказки, истории
pen|ручка
per|в
begun|Начатый
pet|любимое домашнее животное, любимец
twist|вить, крутить, скручивать
peg|целиться
paws|Лапы
fishing|рыбная ловля
force|сила
chemist|химик, аптекарь
closely|близко, тесно
grill|решетка
finds|Находит
wisdom|мудрость
hip|ягода шиповника
spoon|ложка
since|с тех пор как
him|его, ему
type|тип, род
helmet|шлем, каска
padlock|висячий замок
changed|поменял, изменил
cooler|холоднее
angles|Углы
ashes|Пепел
his|его
hit|успех, удача, попадать в цель
tear|слеза, разрыв, рвать
primary|первичный
buzz|жужжать, гудеть, жужжание, гул
exact|точный
flowery|цветистый
piteous|жалкий, жалобный
onto|на
cycle|цикл, период
approve|одобрять
detach|отделять, посылать
beg|просить, умолять
bee|пчела
bed|постель
fatal|фатальный
locking|Захват
means|средство, способ
meant|означаемый, подразумеваемый
enter|входить, поступать
team|команда
ben|Бен
dinner|обед
paul|пол
fined|штрафовал, оштрафованный
whole|целый, весь, целое
bless|благословлять
crumb|крошка
bet|держать пари, пари
owner|владелец
hybrid|Гибрид
surely|несомненно
grease|жир, сало, мазь, смазка; смазывать
quick|быстрый
goods|товары
ease|покой, непринужденность
indoors|в помещении
tyre|шина
digest|переваривать, усваивать, краткое изложение
bruises|Ушибы
tribute|дань
roller|ролик
santos|Сантус
arrest|арестовывать, арест
path|тропинка, беговая дорожка
east|восток, восточный
bid|Предложение
revenue|доход
denial|отрицание, опровержение
stew|тушеное мясо
despair|отчаяние
annual|годовой, ежегодный, ежегодник
your|ваш, твой
play|играть, игра
inject|впрыскивать
sport|спорт, заниматься спортом
modify|модифицировать
bloom|цветение
creeper|вьющееся растение
past|после, за
pie|пирог
troops|войска
pig|свинья
pass|передавать, проходить, пропуск, перевал
greasy|жирный, сальный
earl|граф
meals|еда
plan|план, планировать
pin|булавка, значок, прикалывать
night|ночь
stem|стержень
proud|гордый
pit|яма, партер
navy|военный флот
earn|зарабатывать
step|шаг, шагать
energy|энергия, сила
changes|меняется
buoy|буй, бакен
blond|белокурый
nice|хороший, чудесный, приятный
snapped|Сфотографированный
pop|поп, популярный
admiral|адмирал
deluge|наводнение, ливень
pot|котелок
matches|Сделки, спички
meter|счетчик
tenant|арендатор, жилец
tumbled|Кувыркался
awfully|ужасно, очень , крайне
pod|стручок, лущить
prove|доказывать, доказать
curled|Вился
vote|голос , голосование, голосовать
heads|головы
sledge|ехать на санях
absurd|нелепый
sire|Родитель
doze|дремать
quiet|тихий, спокойный
became|становился, стал
blood|кровь
badger|барсук, травить
temple|храм
obey|подчиняться, слушаться
colonel|полковник
nick|Зарубка
alfred|Альфред
dummy|манекен, макет
crane|журавль, подъемный кран
theft|кража
extinct|потухший , вымерший
complex|сложный, составной, комплексный
god|бог, божество
hobble|хромота, прихрамывать, ковылять
sought|Искавший
plants|Заводы
beth|Бет
bump|удар, толчок, шишка, ударять, стукаться m
useless|бесполезный
haunt|преследовать
farrier|Кузнец
best|наилучший
syringe|шприц
carton|коробка
gold|золото, золотой
reptile|пресмыкающееся
site|местоположение
weed|сорняк, полоть
valiant|храбрый, мужественный
dressed|одетый
thorn|шип, колючка
wedge|клин
divide|делить, отделять
bull|бык
kidnap|похищать
bulk|груз, величина
exhibit|экспонат, показывать
wrinkle|морщина, морщить
weep|плакать
gave|дал
grabbed|Захваченный
pleaded|Умолял
bulb|луковица, электрическая лампочка
unaware|незнающий
sorry|сожалеющий, печальный, унылый
lumber|лесоматериалы
october|октябрь
down|внизу, вниз
week|неделя
behaved|Вел себя
sulphur|сера
unload|разгружать
hills|Холмы
strap|ремень, стягивать ремнем
percent|процент
splash|брызгать; плеск, брызги
coolly|Прохладно
bust|бюст
straw|пустяк, мелочь
bend|гнуться, изгибаться
busy|занятый
absent|отсутствующий
good|хороший, добрый, добро, польза
stray|сбиваться с пути, заблудившийся
ballast|балласт, опыт, убеждения
grief|горе
mankind|человечество
whereby|чем, при помощи
audible|слышный, слышимый
metal|металл, металлический
bush|куст
sooner|охотнее
dots|Точки
leather|кожа, кожаный
crash|потерпеть крах, потерпеть крушение
control|контроль, управление
belief|вера, доверие
imagine|думать, воображать
whose|чей
cavern|Пещера
behind|позади
bury|хоронить, прятать
tumble|падать, опрокидываться
prolong|продлевать
pub|трактир, гостиница
dove|голубь
salute|приветствовать, салют
whereas|тогда как, принимая во внимание
bell|звонок
gride|Скрип
heroic|героический
unfit|негодный, неподходящий
belt|пояс, ремень
gos|Идет
burn|гореть, жечь, сжигать
got|получил, полученный
crust|корка, кора
car|машина
cat|кошка
can|уметь, мочь
cap|шапка
canoe|челн, байдарка
struck|забастовка, удар
dose|доза, дозировать
cab|наемный экипаж, извозчик, такси
arose|возник, появился
sounds|звучит
enclose|окружать
thong|ремень, плеть
argue|спорить
pry|любопытный человек
orchard|фруктовый сад
you|вы, ты
regret|жалеть
peaches|персики
tumbler|Тумблер
tables|Столы
couch|кушетка
pre|Пред
ordered|приказал
learned|ученый
gaze|пристально глядеть, пристальный взгляд
goon|придурок
freight|груз, грузовой
actual|текущий, современный
weak|слабый
sierra|горная цепь
latest|последний
wear|одежда, носить, быть одетым
clause|предложение, статья
bent|склонность, наклонность
curve|изгиб, гнуть
craft|искусство, судно
quill|катушка
people|люди
beyond|далеко, вдали, на расстоянии, вне, сверх
canes|Тростники
gosh|боже
insane|душевнобольной, ненормальный
sustain|поддерживать
bugs|Ошибки
rover|скиталец, странник
shadow|тень, покров, заслонять
gum|смола, клей; склеивать
bottles|бутылки
fifty|пятьдесят
mallow|Просвирник
abbey|Аббатство
mercury|ртуть
games|игры
unlock|отпирать
pairs|Пары
mainly|главным образом
piled|Сложенный
jealous|ревнивый
waving|Помахивание
hobby|хобби
plough|пахать
backed|Поддержанный
afore|перед
inspect|осматривать, инспектировать
legacy|наследство
lemon|лимон
put|класть, размещать
sieve|решето, сито
pun|каламбур
block|блок, квартал
switch|переключать, включать, выключатель, выключать
outline|контур, конспект, план, схема; краткое содержание
buds|почка, расцветать
aliases|Псевдонимы
pug|мопс, моська, курносый нос
serpent|змея, змей
twice|дважды, вдвое
jewel|драгоценность
eaten|eat
delete|Удалить
opera|опера
eater|едок
despise|презирать -e
jury|присяжные, жюри
just|только, всего лишь, справедливый
silk|шелковый, шелк
sill|подоконник
extreme|чрезвычайный, крайность
fifth|пятый
guy|парень
theme|тема
tedious|скучный, утомительный d
excited|взволнованный, возбуждённый
anguish|страдание
gus|Гас
kernel|ядро, зерно
notions|Понятия
gun|ружье, пушка
degree|степень, звание
bun|булочка
bum|бездельник, бродяга
bug|клоп, насекомое, жук
curse|проклятие
badge|знак, символ, эмблема
gang|шайка, банда
bud|почка, бутон, давать почки, пускать ростки
swift|быстрый
despite|несмотря на
but|но
outlet|выход, выходное отверстие
bus|автобус
mystery|тайна
persian|Персидский
buy|покупать, купить
herein|в этом, при сем
beef|говядина
amongst|Среди
raising|воспитание
travel|путешествовать
used|использованный, подержанный
been|быть
ledge|выступ, край
geology|геология
bees|Пчелы
beer|пиво
hurry|спешить, торопиться, спешка
survey|осмотр
longer|длиннее
totally|полностью
gown|платье
july|июль
swing|качание, качели, качаться, колебаться
admired|восхищался
hissed|шипящий
divine|божественный
tongue|язык
pains|боли, страдания
sink|тонуть
paint|красить, краска
strip|полоса
savoury|вкусный, пикантный, приятный
gate|ворота, проход
jump|прыгать
picture|картина, изображение, рисовать, описывать
bonfire|костер
booklet|брошюра, буклет
stories|истории, рассказы
beds|Кровати
smack|рыболовное судно
sing|пение, петь
rejoice|радовать
stretch|растягивать, вытягиваться
blobs|Капли
pitch|бросок, уровень, сооружать
diving|ныряние
russell|Русселл
trolley|тележка
erase|стирать
june|июнь
movies|кино, фильмы
calling|звонящий
north|север
ashamed|пристыженный
ernest|Эрнест
fulfil|выполнить
joking|шутка, шутящий
junk|рухлядь
upper|верхний
orderly|аккуратный
gasp|задыхаться
hopeful|надеющийся, подающий надежды, многообещающий
tones|Тоны
pickles|маринованные огурцы
lately|за последнее время
resort|обращение, обращаться
exist|существовать, жить
fatty|жирный
misty|туманный m
hurts|болеет, причиняет боль, повреждает
tongs|щипцы, клещи
cages|Клетки
bye|пока
unmoved|равнодушный
begin|начинать
tower|башня
organ|орган
quite|вполне, совсем
pearls|Жемчуг
towel|полотенце
rifle|ружье, винтовка
their|их
kidney|почка
user|потребитель
storage|хранение
river|река
clients|Клиенты
auction|аукцион
stork|аист
solemn|серьезный, торжественный
said|сказал
store|магазин, имущество, запасать, снабжать
stuffed|Наполненный
columns|Колонки
college|колледж
jeff|Джеф
sham|притворство, обман
apricot|абрикос
ghost|привидение, дух
storm|буря, взрыв
failing|Неудача
lord|лорд
sausage|колбаса, сосиска
story|рассказ, история
deed|подвиг, дело
solely|Исключительно
curls|Завитки
sorting|Сортировка
sail|парус, плыть
jeer|насмешка
deep|глубокий
instant|мгновение
deer|олень, лань
breath|дыхание
wiped|Вытертый
forgive|прощать
valleys|Долины
engine|двигатель, мотор, машина
wretch|несчастный, негодяй
plate|тарелка
harness|упряжь, запрягать
mood|настроение
image|изображение, образ, имидж
miles|мили
confess|признавать
betray|предавать
breast|грудь
magic|волшебный
voyage|путешествие
aim|целиться, цель
paste|тесто, клейстер, паста; клеить, склеивать
butter|масло
retain|удерживать
binding|переплет
air|воздушный, авиационный, проветривать
beck|кивок, приветствие
puddle|лужица, смущать, барахтаться в воде
keeping|хранение, содержание, согласие
hammock|гамак
immense|громадный, необъятный
zinc|цинк, цинковый, оцинковывать
gift|подарок
idea|идея, мысль
mole|крот
barely|только, едва
satisfy|удовлетворять
raise|поднимать, возвышать
marched|Прошел
shrub|куст
servant|слуга
deploy|развертывать
aid|помощь
shrug|пожимать плечами
burial|похороны
repent|раскаиваться
stops|остановки
fencing|ограждение
degrade|понижать, разжаловать
faster|быстрее
loot|ограбление
bagful|мешок
waspish|злой, раздражительный
battery|аккумулятор
domain|Область
current|течение, ток
loop|петля
sheep|овца, овцы
left|покинутый, оставленный
favour|одолжение, услуга, польза
jewels|драгоценности
sheer|настоящий
deck|палуба
loom|принимать размеры
sheet|простыня, лист, пласт
fasten|прикреплять
weekly|еженедельный, еженедельно
bear|медведь, спекулянт
install|водворять, устраивать, устанавливать
look|смотреть, выглядеть, взгляд, внешность
safe|сейф, безопасный, надежный
beat|ударить, бить
beau|кавалер, поклонник
bean|боб
debt|долг
wreck|крушение
cracker|печенье, хлопушка
stool|табуретка
stoop|наклонять, сутулиться, горбиться
aha|Ага
gain|прибыль
yes|да
barley|ячмень
cocoa|какао
beak|клюв
beam|сиять, излучать
angeles|Анхелес
napkin|салфетка, пеленка
yet|однако, еще
dwell|жить
gravely|серьезно, здраво, рассудительно
player|плейер, игрок
quiver|дрожать, трепетать; дрожь; трепет
normal|нормальный
driving|езда, вождение, движущий
stone|камень
tragedy|трагедия
plays|играет
chilly|холодный, сухой, чопорный
dear|дорогой
long|длинный, долгий, долго
wallet|бумажник
dock|док, пристань
informs|Сообщает
pompey|Помпей
deal|значительное количество
autumn|осень
expose|выставлять, подвергать, разоблачать
dean|декан
capture|захват, поймать
liberal|либеральный, щедрый; либерал
tommy|Томми
dead|мертвый
ant|муравей
dignity|достоинство
deaf|глухой
victory|победа
radiant|лучистый, сияющий, лучезарный
priest|священник
seeing|видящий
likely|вероятно
vault|свод
ana|сборник изречений
lent|одолжил, дал в долг
drain|вытекание
lens|линза
and|и, а
decided|решил
holiday|отпуск, праздник
amy|Эми
played|играл
maximum|Максимум
seeming|видимый, мнимый
thrive|преуспевать; буйно, пышно расти
roman|Католик
phase|фаза, фазировать
enforce|принуждать, навязывать, проводить в жизнь
lend|дать в долг
dazed|ошеломленный
collect|коллекционировать
galaxy|Галактика
does|делать, действовать, вспомогательный глагол
skiing|катание на лыжах
doer|исполнитель
boast|хвастовство, хвастать
icy|ледяной
rainy|дождливый
garage|гараж
gale|шторм
waist|талия
colon|двоеточие
chisel|резец, ваять, высекать
husband|муж
lighter|зажигалка
accused|Обвиняемый
sack|мешок
torches|фонарики
defence|оборона, защита
apex|верхушка, вершина
hands|руки
ice|лед
nicely|хорошо
disable|делать непригодным
buried|спрятанный, похороненный
handy|удобный; ловкий, искусный
all|все, весь
members|члены
sample|образец
trophy|трофей
export|экспорт, экспортировать
speed|скорость, ускорять, спешить
cram|запихивать, пичкать, учить наспех, натаскивать
boats|лодки
apes|Обезьяны
game|игра
walter|Уолтер
crab|краб
memory|память
urban|городской
shed|сарай
draft|чертеж, проект
reckon|считать
color|Цвет
decency|приличие, благопристойность
cruelty|жестокость
heating|отопление
badly|сильно, плохо
manner|способ, образ действия, манера
forget|забыть
growth|рост
newly|вновь
abc|алфавит, азбука, букварь, начатки, основы
supreme|верховный, высший
door|дверь
luggage|багаж
ardent|пылкий
bother|беспокойство, хлопоты; источник беспокойства
fixed|назначил
doom|обрекать
twisted|искривленный
slime|слизь, липкая грязь, ил; комбинация
rouse|будить, побуждать
dried|сушеный
correct|исправлять, правильный
realm|Царство
button|кнопка, пуговица
feast|пир
prosper|процветать
idiot|идиот
dene|долина, дюны
tramp|бродить, громко топать, бродяга
knob|knob
move|двигать, переезжать
legally|законно
reins|поводья, вожжи
maybe|мoжет быть
done|сделанный
cliff|утес, скала
colin|Колин
board|садиться на пароход, самолет; доска
pursuit|преследование, погоня, занятие
commend|хвалить
melon|дыня
month|месяц
delay|отсрочка
bodies|Органы
comment|комментарий, комментировать
small|маленький, тонкий, скромный
wisely|мудро
varied|Различный
region|район, область
plant|завод, растение, сажать, внедрять, посадить
expert|эксперт
plans|планы
strain|натягивать, напрягать, напряжение
crew|судовая команда, экипаж
moss|мох
plank|доска
click|щелкать
most|самый, весьма
strait|узкий, пролив, затруднительное материальное положение, нужда
utmost|крайний
aside|в сторону
roused|Разбуженный
thrill|волновать
tiptoe|кончики пальцев, цыпочки
inhale|вдыхать
sharpen|точить
porch|крыльцо,  веранда, терраса
moth|моль, мотылек
backup|Резервный
untidy|неаккуратный
vague|неопределенный, смутный
crawl|ползать
abide|ждать, терпеть
product|продукция
idle|бесполезный
plane|самолет
valve|клапан, створка, радио электронная лампа
route|маршрут, путь, направлять
alexis|Алексис
item|вещь, предмет
account|счет, оценка, причина
hoard|запас; запасать, копить
earth|земля
puff|дымок, дуновение ; дымить, попыхивать
scholar|ученый
produce|производить
jean|Хлопчатобумажная ткань
reveal|обнаруживать
skilled|квалифицированный, умелый, ловкий
cousin|двоюродный брат
cooked|готовил
bracket|скобка, подпорка, заключать в скобки
fatigue|усталость, утомлять
temper|сдержанность, самообладание
carved|вырезанный
love|любовь, любить
more|еще, больше
eminent|выдающийся
bikes|Велосипеды
trail|след
age|век, возраст
value|ценность, цена, дорожить, ценить
train|поезд, привлекать, воспитывать
noble|благородный, знатный
spell|писать или произносить  по буквам
lover|любитель, возлюбленный
stove|печь, плита
inn|гостиница, постоялый двор
stature|рост
scream|вскрикнуть, зареветь, визг, вопль
lots|уйма, куча, множество
glance|взглянуть, мелькнуть
tablets|таблетки
gipsy|цыганский, цыган
ink|чернила
studied|учился
sharply|резко
stout|тучный, дородный
pursued|Преследуемый
caesar|Каесар
loud|громкий
measles|корь
endure|Вынести
lightly|слегка
parents|родители
moon|луна
lost|потерял, проиграл, потерянный, проигранный
loss|потеря, утрата
outfit|снаряжение, обмундирование, оборудование
theory|теория
dome|купол
drift|сносить, плыть по течению
add|добавлять, прибавлять
playing|играющий
agony|мучение, сильная боль
crazy|безумный
ample|обширный, просторный
diamond|алмаз, бриллиант
spent|проводил, тратил, проведенный, потраченный
ads|реклама
less|менее, в меньшей степени
statute|закон, устав
those|тот, та, то, те
doll|кукла
dispose|располагать
ill|больной
expel|изгонять, исключать
agency|агентство
smash|бить, разбивать
quoted|Указанный
loved|любил
rapid|быстрый
devil|дьявол, сатана
know|знать
filling|заполнение, наполнение
knot|узел, завязывать узел
spend|тратить
apparel|одевать, наряжать
lose|терять, проигрывать
squeal|Визг -a
twenty|двадцать
fixes|Устанавливает
blue|синий
glands|Гланды
violet|фиолетовый
hostile|враждебный
tighten|сжимать
meadow|луг
removed|удалённый
defy|действовать наперекор
local|местный
act|акт, дело, действовать
smart|изящный
greater|больше
bench|скамейка
nulls|Пустые указатели
knew|знал
winner|победитель
ready|готовый
spot|пятно
veteran|ветеран
forgot|забыл
place|место
serious|серьезный
suicide|самоубийство, самоубийца
slack|ленивый, слабый, ослаблять, утихать
knee|колено
handbag|дамская сумочка
rubber|резина
how|как
journey|путешествие
cling|цепляться, льнуть
loan|заём, ссуда
clink|звенеть, звон
grace|грация, изящество
pure|чистый
hog|свинья, боров
loaf|безделье
sophia|София
toad|жаба
hot|горячий
load|нагрузка, нагружать
nearby|поблизости
hop|хмель
harp|арфа
presume|предполагать
climb|подниматься, влезать
thrice|трижды
harm|беда, неприятность
killed|убил
choice|выбор
give|давать
events|События
hari|Хари
hardly|едва
snorted|Фыркал
desk|письменный стол
brought|принес, принесенный
gravel|гравий
hart|олень
running|пробег, бегущий
hoe|мотыга, рыхлить землю
plot|заговор
tempted|Соблазненный
easy|легкий, простой
tucked|Подвернутый
racing|гоночный
bodily|лично, сам, собственной персоной
fierce|свирепый
denote|означать, обозначать
grade|сортировать, степень
hare|заяц
slide|скользить
hard|с трудом, тяжело
ability|способность
scratch|царапать
outward|внешний, наружный
trips|поездки
plump|пухлый, полный
park|парк,
induce|убеждать
plums|сливы
plume|перо
front|перед, передняя сторона, фронт
speaks|Говорит
incline|склонять
field|поле
peering|Глядя
banana|банан
orphan|сирота, сиротский
isle|остров
pistol|револьвер, пистолет
weapon|оружие
string|вереница, ряд, струна, связывать
keen|страстный
slice|ломоть
keel|киль
part|часть, доля, роль, делить, расставаться, расходиться
robber|грабитель
aye|Утвердительный ответ, положительный ответ
afford|позволить себе
keep|держать, сохранять
flinch|отступать, вздрагивать
hall|зал
hug|крепко обнимать
pull|тянуть, тащить
frost|мороз
crow|ворона
half|половина
round|круг, цикл, полный, круглый
pulp|мякоть, бумажная масса
cancel|отменить, сократить
poorly|плохо, неважно
crop|урожай
handled|Обработанный
lobes|Лепестки
amount|количество, сумма, составлять
knit|вязать, связывать
welcome|желанный, гостеприимство
signify|значить, означать, иметь значение
tickets|билеты
dessert|десерт
text|текст
verse|стихи, поэзия
submit|подчиняться
fowl|птица
shallow|мелкий, поверхностный, мель
eloise|Элоиза
pump|насос
pale|бледный
effort|усилие, напряжение
reduce|уменьшать, понижать, сокращать
nation|нация, народ
helpful|полезный
palm|ладонь
james|Джеймс
finish|кончать, конец, финиш
input|Вход
hybrids|Гибриды
scuba|Акваланг
laurie|Лаури
carlos|Карлос
spur|стимул
natural|естественный
adept|знаток, сторонник
hans|Ханьшуй
hockey|хоккей
archaic|устарелый, архаический
faintly|слабо
trade|торговать, ремесло, занятие, профессия
strings|Вереницы
signal|сигнал, сигнализировать
repeat|твердить, говорить наизусть
hang|повесить, висеть
appears|Появляется
consume|потреблять
hand|рука
journal|журнал
liberty|свобода
reach|достигать
hrs|Часы
shut|закрывать, запирать, замолчать
prince|принц
deny|отрицать, отвергать
bunch|связка, пучок
four|четыре
plain|ясный, очевидный, равнина
react|реагировать
foul|загрязненный, грязный, бесчестный
drawn|нарисованный
consult|советоваться
ladder|лестница
defense|оборона
sincere|искренний
trace|следить, чертить
track|след, тропа, колея
accord|согласие, гармония
pang|острая боль
pane|оконное стекло
forty|сорок
pant|задыхаться
joyful|радостный, довольный
foggy|туманный
school|школа, обучать
gaunt|Изможденный
monks|Монахи
mighty|могущественный
relic|след, остаток, пережиток
praise|хвалить
halt|остановка, останавливать
peacock|павлин
forth|вперед, впредь, далее
shell|раковина, скорлупа
spotted|Определенный
numeric|Числовой
examine|рассматривать, рассмотреть
relay|смена
test|анализ, проверка, испытывать
relax|ослаблять
excuse|извинять
artful|хитрый, ловкий
insist|настаивать
pluck|ощипывать, выщипывать, рвать
whether|ли
city|город
course|курс, блюдо
expect|ожидать
open|открывать
airport|аэропорт
are|есть
page|страница
arc|дуга
shelf|полка
essay|очерк
margin|минимум, нижняя грань, предел
refused|отказался
arm|рука
horace|Хорас
brutal|грубый, жестокий
plus|плюс
fork|вилка
form|бланк, форма, формировать
art|искусство
prepare|готовить
asa|Аса
fort|Форт
easel|мольберт
yawn|зевать, зевота
plum|слива
present|настоящее время, подарок, настоящий, присутствующий
harden|твердеть
ash|ясень
plug|пробка
nicest|самый вкусный
adults|взрослые
ask|просить, спрашивать
exams|экзамены
harder|больше, упорнее
picnic|пикник
haze|легкий туман
pair|пара
ship|корабль, пароход, грузить, перевозить
neglect|пренебрегать
pain|боль, страдание
finally|в конце концов
pail|ведро
contact|устанавливать связь
delight|восхищение, восхищаться
mode|способ
typical|типичный
paid|платил, оплаченный
fiery|Пламенный
spit|плеваться, фыркать
wasted|Потраченный впустую
engage|нанимать, занимать, вовлекать
ape|обезьяна
outrage|нарушение закона, насилие, оскорблять
loft|сеновал, чердак
mended|починил, починенный
money|деньги
spin|прясть, крутить
litter|мусор, сорить
fore|передний
ford|брод, переходить вброд
thomas|Томас
acquire|приобретать
delve|впадина, рытвина
app|Приложение
hum|жужжать, гудеть
spear|дротик, копье
mock|насмехаться
walked|гулял
apt|подходящий, уместный, склонный
apiece|за штуку, поштучно
hut|хижина
logs|Бревна
signed|Подписанный
pyramid|пирамида
mayor|мэр
speak|говорить, убеждать
haven|гавань, убежище
barton|имение, поместье, усадьба
frown|нахмуриться, недовольное выражение лица
sulky|мрачный, хмурый l
owen|Оуэн
should|следует
moaning|Стенание
scatter|разбрасывать, рассеивать
point|точка, пункт, суть дела, указывать, показывать
attach|придавать
attack|нападение, наступать
grimly|жестоко, решительно
shop|магазин, мастерская
pace|шагать
hate|ненавидеть
convict|признать виновным, осудить
foot|нога, фут
jersey|джемпер
bosom|грудь
infer|заключать, делать вывод
little|мало, маленький
show|показывать, демонстрировать, выставка, зрелище
pack|упаковывать, упаковать
alive|живой
shot|попытка, выстрел
fool|дурак, глупец
though|хотя, несмотря на
dismal|мрачный, унылый
rogue|плут, мошенник
butler|Дворецкий
hats|Шляпы
dismay|ужас
decoy|западня, приманка; заманивать в ловушку
combat|бой, борьба
yielded|Выданный
rings|Кольца
proper|правильный
shoe|ботинок, туфля
refusal|отказ
ave|прощание
systems|Системы
awe|страх
except|исключая, кроме
rouge|румяна, губная помада
nervous|нервный
rough|грубый
moan|оплакивать, стонать
fiend|дьявол, злой дух
food|пища
contain|содержать, сдерживать
bearer|носитель, податель, предъявитель
revenge|месть, мстить
reject|отвергать
yard|ярд, двор
athwart|через, вопреки
have|иметь, вспомогательный глагол
hanky|носовой платок
excess|избыток
tearing|Разрывание
ass|осел
object|возражать, предмет
mural|стенная живопись, фреска
unlucky|неудачный
push|толкать
beetle|трамбовать, дробить камни
fond|нежный
girl|девочка, девушка
fresh|свежий, бодрый
dyed|крашенный
ate|ел, съел
forms|формы
rightly|справедливо
fancied|Представлял себе
error|ошибка
folk|народная
urgent|крайне необходимый, срочный
lock|замок, запирать на замок
nearly|почти, приблизительно
learnt|узнал, выученный
refers|Обращается
fold|складывать, сгибать, скрещивать ; складка
nearest|ближайший
armour|броня
term|семестр, срок
mental|умственный
applied|прикладной
menace|опасность
secret|секрет
pushed|вытолкнутый
haul|тянуть
occur|случаться
hive|улей
trice|мгновение
placing|Размещение
angrily|сердито
chance|случай, шанс
olive|олива, маслина; оливкового цвета
furnish|снабжать, меблировать, обставлять
thanks|спасибо
roll|вращение, список, булочка, вращаться, катить
ceased|Прекратил
knock|стучать, стук
beans|фасоль
gloria|Глория
squall|писк, визг
role|роль
banquet|банкет
trick|хитрость, обман, обманывать
right|правильный, правый
bought|купил, купленный
inquire|спрашивать, узнавать
eighth|восьмой
crook|крюк, крючок, поворот
comic|кинокомедия, комический
canned|консервированный
rigid|жесткий
deadly|смертельно
sequel|продолжение, результат
partial|частичный
maria|Мария
few|мало
cleared|рассчитался
fee|гонорар, платить гонорар
